name,suitable_for_cancer
"Grapes, raw, muscadine",0
"Currants, dried, zante",0
"Babyfood, pear, juice",0
"Durian, raw or frozen",0
"Goji berries, dried",0
"Mango nectar, canned",0
"Figs, uncooked, dried",0
"Pie, fruit, fried pies",0
"Pears, red anjou, raw",1
Horned melon (Kiwano),0
"Kiwifruit, raw, green",1
"Melons, raw, honeydew",0
"Oranges, Florida, raw",1
"Papaya nectar, canned",0
"Cherries, raw, sweet",1
"Peaches, raw, yellow",0
"Pears, bartlett, raw",1
"Loganberries, frozen",1
"Tangerine juice, raw",0
"Soybeans, raw, green",0
"Oranges, navels, raw",1
"Guavas, raw, common",1
"Melons, raw, casaba",0
"Prune juice, canned",0
"Guava sauce, cooked",1
"Carrots, raw, baby",0
"Sapote, raw, mamey",0
"Pomegranates, raw",0
"Pears, raw, asian",1
"Plantains, cooked",1
"Raisins, seedless",0
"Strawberries, raw",1
"Gooseberries, raw",1
"Elderberries, raw",0
"Orange juice, raw",0
"Blackberries, raw",1
"Raspberries, raw",1
"Lemon juice, raw",0
"Orange peel, raw",1
"Blueberries, raw",1
"Clementines, raw",0
"Pears, bosc, raw",1
"Watermelon, raw",0
"Cranberries, raw",1
"Nectarines, raw",0
"Mulberries, raw",0
"Rose-apples, raw",0
"Lime juice, raw",0
"Dates, medjool",0
"Tamarinds, raw",0
"Longans, dried",0
"Plantains, raw",1
"Sapodilla, raw",0
"Jackfruit, raw",0
"Litchis, dried",0
"Cherimoya, raw",0
"Apricots, raw",1
"Kumquats, raw",0
"Litchis, raw",0
"Quinces, raw",0
"Roselle, raw",0
"Soursop, raw",0
"Longans, raw",0
"Loquats, raw",0
"Pummelo, raw",0
"Quinces, raw",0
"Soursop, raw",0
"Litchis, raw",0
"Bananas, raw",1
"Papayas, raw",0
"Mangos, raw",0
"Feijoa, raw",1
"Jujube, raw",0
"Limes, raw",1
"Pears, raw",1
"Plums, raw",0
"Rowal, raw",0
"Figs, raw",0
"Yam, raw",0
