Column1,name,serving_size,calories,calcium,protein,carbohydrate,fiber,sugars,fat
0,Cornstarch,100 g,381,2.00 mg,0.26 g,91.27 g,0.9 g,0.00 g,0.05 g
1,"Nuts, pecans",100 g,691,70.00 mg,9.17 g,13.86 g,9.6 g,3.97 g,71.97 g
2,"Eggplant, raw",100 g,25,9.00 mg,0.98 g,5.88 g,3.0 g,3.53 g,0.18 g
3,"Teff, uncooked",100 g,367,180.00 mg,13.30 g,73.13 g,8.0 g,1.84 g,2.38 g
4,"Sherbet, orange",100 g,144,54.00 mg,1.10 g,30.40 g,1.3 g,24.32 g,2.00 g
5,"Cauliflower, raw",100 g,25,22.00 mg,1.92 g,4.97 g,2.0 g,1.91 g,0.28 g
6,"Taro leaves, raw",100 g,42,107.00 mg,4.98 g,6.70 g,3.7 g,3.01 g,0.74 g
7,"Lamb, raw, ground",100 g,282,16.00 mg,16.56 g,0.00 g,0.0 g,0.00 g,23.41 g
8,"Cheese, camembert",100 g,300,388.00 mg,19.80 g,0.46 g,0.0 g,0.46 g,24.26 g
9,Vegetarian fillets,100 g,290,95.00 mg,23.00 g,9.00 g,6.1 g,0.80 g,18.00 g
10,"PACE, Picante Sauce",100 g,25,0,0.00 g,6.25 g,3.1 g,6.25 g,0.00 g
11,"Goji berries, dried",100 g,349,190.00 mg,14.26 g,77.06 g,13.0 g,45.61 g,0.39 g
12,"Mango nectar, canned",100 g,51,17.00 mg,0.11 g,13.12 g,0.3 g,12.45 g,0.06 g
13,"Crackers, rusk toast",100 g,407,27.00 mg,13.50 g,72.30 g,0,0,7.20 g
14,"Chicken, boiled, feet",100 g,215,88.00 mg,19.40 g,0.20 g,0.0 g,0.00 g,14.60 g
15,"Quail, raw, meat only",100 g,134,13.00 mg,21.76 g,0.00 g,0.0 g,0,4.53 g
16,"Pie, lemon, fried pies",100 g,316,22.00 mg,3.00 g,42.60 g,2.6 g,0,16.10 g
17,"Peppers, raw, jalapeno",100 g,29,12.00 mg,0.91 g,6.50 g,2.8 g,4.12 g,0.37 g
18,"Winged bean tuber, raw",100 g,148,30.00 mg,11.60 g,28.10 g,0,0,0.90 g
19,"Salami, turkey, cooked",100 g,172,40.00 mg,19.20 g,1.55 g,0.1 g,1.12 g,9.21 g
20,"Grapes, raw, muscadine",100 g,57,37.00 mg,0.81 g,13.93 g,3.9 g,0,0.47 g
21,"Nuts, raw, ginkgo nuts",100 g,182,2.00 mg,4.32 g,37.60 g,0,0,1.68 g
22,"Spices, ground, savory",100 g,272,2132.00 mg,6.73 g,68.73 g,45.7 g,0,5.91 g
23,"Candies, sesame crunch",100 g,516,639.00 mg,11.60 g,50.30 g,7.7 g,31.17 g,33.30 g
24,"Cheese, low fat, cream",100 g,201,148.00 mg,7.85 g,8.13 g,0.0 g,5.82 g,15.28 g
25,"PACE, Green Taco Sauce",100 g,25,0,0.00 g,6.25 g,0,6.25 g,0.00 g
26,"Syrup, Canadian, maple",100 g,270,109.00 mg,0.00 g,67.38 g,0.0 g,59.92 g,0.00 g
27,"Ostrich, raw, top loin",100 g,119,6.00 mg,21.67 g,0.00 g,0.0 g,0.00 g,2.95 g
28,"Chewing gum, sugarless",100 g,268,20.00 mg,0.00 g,94.80 g,2.4 g,0.00 g,0.40 g
29,"Nuts, dried, pine nuts",100 g,673,16.00 mg,13.69 g,13.08 g,3.7 g,3.59 g,68.37 g
30,"Pasta, unenriched, dry",100 g,371,21.00 mg,13.04 g,74.67 g,3.2 g,2.67 g,1.51 g
31,"McDONALD'S, Side Salad",100 g,20,24.00 mg,1.03 g,4.30 g,1.6 g,2.24 g,0.19 g
32,"Cookies, Marie biscuit",100 g,406,0.00 mg,7.05 g,70.54 g,3.5 g,21.16 g,10.58 g
33,"Broccoli, raw, chinese",100 g,30,105.00 mg,1.20 g,4.67 g,2.6 g,0.88 g,0.76 g
34,"McDONALD'S, Hash Brown",100 g,271,19.00 mg,2.48 g,28.56 g,2.8 g,0.54 g,16.30 g
35,"Agave, raw (Southwest)",100 g,68,417.00 mg,0.52 g,16.23 g,6.6 g,2.58 g,0.15 g
36,"Emu, raw, outside drum",100 g,103,3.00 mg,23.08 g,0.00 g,0.0 g,0.00 g,0.48 g
37,"Nuts, dried, beechnuts",100 g,576,1.00 mg,6.20 g,33.50 g,0,0,50.00 g
38,"Currants, dried, zante",100 g,283,86.00 mg,4.08 g,74.08 g,6.8 g,67.28 g,0.27 g
39,"Lentils, raw, sprouted",100 g,106,25.00 mg,8.96 g,22.14 g,0,0,0.55 g
40,"Gravy, mix, dry, onion",100 g,322,280.00 mg,9.00 g,67.64 g,6.0 g,0,3.00 g
41,"Pie, fruit, fried pies",100 g,316,22.00 mg,3.00 g,42.60 g,2.6 g,21.40 g,16.10 g
42,"Snacks, cakes, popcorn",100 g,384,9.00 mg,9.70 g,80.10 g,2.9 g,0.72 g,3.10 g
43,"Snack, Mixed Berry Bar",100 g,383,105.00 mg,13.16 g,58.84 g,7.9 g,26.32 g,10.53 g
