name,Suitable for PCOD
Pears (all varieties),1
Kiwifruit,1
Blueberries (raw),1
Strawberries (raw),1
Raspberries,1
Blackberries,1
Gooseberries,1
"Oranges (navel, Florida, tangerine)",1
Grapefruit,1
Lemon juice,1
Clementines,1
Watermelon (in moderation),1
Pomegranate (in moderation),1
"Cranberries (raw, unsweetened juice)",1
Feijoa,1
Guavas,1
Papayas,1
Limes,1
"Peppers (yellow, hot chili)",1
"Persimmons (dried, in moderation)",1
Bananas,0
Dates (medjool),0
"Mangos (raw, nectar)",0
Watermelon (in excess),0
Figs (dried),0
Pineapple (raw),0
Raisins,0
"Grapes (muscadine, red)",0
Sapodilla,0
Durian,0
"Plantains (cooked, raw)",0
Tamarind (raw),0
"Lychee (dried, raw)",0
Jackfruit,0
"Cherries (raw, sweet)",0
Rambutan (syrup pack),0
Prune juice,0
"Pineapple (sweetened, canned)",0
"Avocados, California, raw",1
"Avocados, Florida, raw",1
"Blueberries, frozen, wild",1
"Blueberries, unsweetened, frozen",1
"Feijoa, raw",1
"Jujube, raw",1
"Lemons, without peel, raw",1
"Limes, raw",1
"Pears, raw",1
"Pears, green anjou, raw",1
"Plums, raw",1
"Persimmons, raw, native",1
"Apples, with skin, raw",1
"Oranges, valencias, California, raw",1
"Grapefruit, California, white, raw",1
"Grapefruit, all areas, white, raw",1
"Raspberries, unsweetened, frozen",1
"Blackberries, unsweetened, frozen",1
"Blueberries, unsweetened, frozen",1
"Kiwifruit, raw, ZESPRI SunGold",1
"Pitanga, raw, (surinam-cherry)",1
"Mango, sweetened, dried",0
"Cherries, sweetened, frozen, sweet",0
"Boysenberries, heavy syrup, canned",0
"Babyfood, orange and banana, juice",0
"Cranberry juice cocktail, bottled",0
"Babyfood, prune and orange, juice",0
"Cherries, sweetened, dried, tart",0
"Babyfood, apple and prune, juice",0
"Pie fillings, canned, blueberry",0
"Plums, uncooked, dried (prunes)",0
"Babyfood, apple-cherry juice",0
"Babyfood, tropical fruit medley",0
"Passion-fruit juice, raw, yellow",0
"Mangosteen, syrup pack, canned",0
"Blueberries, sweetened, frozen",0
"Avocados, all commercial varieties, raw",1
"Blackberries, raw (Alaska Native), wild",1
"Grapefruit, Florida, pink and red, raw",1
"Blueberries, raw (Alaska Native), wild",1
"Oranges, all commercial varieties, raw",1
"Apples, with skin, red delicious, raw",1
"Apples, with skin, granny smith, raw",1
"Tangerines, raw (mandarin oranges)",1
"Raspberries, wild (Northern Plains Indians)",1
"Pitanga, raw, (surinam-cherry)",1
"Prickly pears, raw (Northern Plains Indians)",1
"Cranberries, raw (Alaska Native), bush, wild",1
"Naranjilla (lulo) pulp, unsweetened, frozen",1
"Babyfood, orange-carrot, juice",0
"Babyfood, strained, tutti frutti, fruit",0
"Pineapple, drained, juice pack, canned",0
"Apricots, drained, heavy syrup, canned",0
"Strawberries, sliced, sweetened, frozen",0
"Strawberries, whole, sweetened, frozen",0
"Peaches, drained, heavy syrup, canned",0
"Maraschino cherries, drained, canned",0
"Guava nectar, canned, with sucralose",0
"Papaya, drained, heavy syrup, canned",0
"Apricots, uncooked, sulfured, dried",0
"Pineapple, sweetened, chunks, frozen",0
"Rhubarb, with sugar, cooked, frozen",0
Cranberry juice cocktail,0
"Figs, solids and liquids, water pack, canned",0
"Fruit cocktail, drained, heavy syrup, canned",0
"Babyfood, Banana with orange medley, GERBER",0
"Plantains, Latino restaurant, fried, yellow",0
"Cranberry sauce, OCEAN SPRAY, canned, whole",0
"Blueberries, drained, light syrup, canned",0
"Passion-fruit, raw, purple, (granadilla)",1
"Rose Hips, wild (Northern Plains Indians)",1
"Blueberries, frozen (Alaska Native), wild",1
"Groundcherries, raw, (cape-gooseberries or poha)",1
"Chokecherries, pitted (Shoshone Bannock), raw",1
"Chokecherries, pitted (Northern Plains Indians), raw",1
"Pie, commercially prepared, coconut creme",0
"Pie, prepared from recipe, lemon meringue",0
"Applesauce, with salt, sweetened, canned",0
"Pineapple, solids and liquids, juice pack, canned",0
"Pineapple, solids and liquids, water pack, canned",0
"Apricot nectar, with added ascorbic acid, canned",0
"Blueberries, drained, light syrup, canned",0
"Blueberries, drained, heavy syrup, canned, wild",0
"Fruit juice smoothie, BLUE MACHINE, NAKED JUICE",0
"Snacks, fruit, NUTRI-GRAIN Cereal Bars, KELLOGG'S",0
"Babyfood, junior, applesauce and cherries, fruit",0
"Babyfood, junior, applesauce and apricots, fruit",0
"Pear nectar, without added ascorbic acid, canned",0
"Orange juice, includes from concentrate, chilled",0
"Pears, with added sugar, stewed, sulfured, dried",0
"Beets, solids and liquids, regular pack, canned",0
"Peaches, solids and liquids, water pack, canned",0
"Peaches, solids and liquids, juice pack, canned",0
"Plums, with added sugar, stewed, dried (prunes)",0
"Peach nectar, with added ascorbic acid, canned",0
"Guava nectar, with added ascorbic acid, canned",0
"Babyfood, junior, banana and strawberry, fruit",0
"Babyfood, strained, apricot with tapioca, fruit",0
"Babyfood, toddler, fruit medley, juice treats",0
"Frozen novelties, juice with cream, juice type",0
"Pears, with added sugar, stewed, sulfured, dried",0
"Pears, solids and liquids, water pack, canned",0
"Pears, solids and liquids, juice pack, canned",0
"Figs, solids and liquids, heavy syrup pack, canned",0
"Sweet potato, solids and liquids, syrup pack, canned",0
"Apples, heated, drained, sliced, sweetened, canned",0
"Babyfood, strained, bananas with apples and pears, fruit",1
"Babyfood, strained, guava and papaya with tapioca, fruit",1
"Sweet potato, without salt, baked, cooked, frozen",1
"Tomato products, without salt added, puree, canned",1
"Tomato products, without salt added, paste, canned",1
"Grapefruit juice, unsweetened, canned or bottled, white",1
"Grapefruit, California and Arizona, pink and red, raw",1
"Apple juice, with added ascorbic acid, unsweetened, canned or bottled",1
"Orange juice, undiluted, unsweetened, frozen concentrate",1
"Apple juice, with added ascorbic acid, unsweetened, canned or bottled",1
"Pear nectar, without added ascorbic acid, canned",1
"Grapefruit juice, with added calcium, pink or red",1
